0,0,0,0,1
0,0,0,1,-0.930891
1,0,1,0,1
0,0,1,0,-3.312939
1,0,1,1,-1.746979
2,0,2,0,1
1,0,2,0,-3.787200
2,0,2,1,-1.866045
3,0,3,0,1
2,0,3,0,-3.312939
3,0,3,1,-2.155023
4,0,4,0,1
3,0,4,0,-3.312939
4,0,4,1,-1.495717
5,0,5,0,1
4,0,5,0,-4.026227
5,0,5,1,-1.632682
6,0,6,0,1
5,0,6,0,-3.312939
6,0,6,1,-1.717980
7,0,7,0,1
6,0,7,0,-4.026227
7,0,7,1,-1.495717
8,0,8,0,1
7,0,8,0,-3.312939
8,0,8,1,-1.313531
9,0,9,0,1
8,0,9,0,-2.522663
9,0,9,1,-1.093160
10,0,10,0,1
9,0,10,0,-3.690874
10,0,10,1,-0.563857
11,0,11,0,1
10,0,11,0,-4.026227
11,0,11,1,-1.093160
12,0,12,0,1
11,0,12,0,-4.026227
12,0,12,1,-1.093160
13,0,13,0,1
12,0,13,0,-4.195244
13,0,13,1,-0.265720
14,0,14,0,1
13,0,14,0,-4.026227
14,0,14,1,0.049131
15,0,15,0,1
14,0,15,0,-2.920879
15,0,15,1,-1.746979
16,0,16,0,1
15,0,16,0,-3.312939
16,0,16,1,-0.841307
17,0,17,0,1
16,0,17,0,-3.690874
17,0,17,1,-1.313531
18,0,18,0,1
17,0,18,0,-4.026227
18,0,18,1,-1.632682
19,0,19,0,1
18,0,19,0,-1.717980
19,0,19,1,-1.746979
20,0,20,0,1
19,0,20,0,-2.920879
20,0,20,1,-1.717980
21,0,21,0,1
20,0,21,0,-3.690874
21,0,21,1,-1.632682
22,0,22,0,1
21,0,22,0,-4.195244
22,0,22,1,0.310214
23,0,23,0,1
22,0,23,0,-3.312939
24,0,24,0,1
23,0,24,0,-2.522663
25,0,25,0,1
24,0,25,0,-4.026227
26,0,26,0,1
25,0,26,0,-4.026227
27,0,27,0,1
26,0,27,0,-2.920879
28,0,28,0,1
27,0,28,0,-4.195244
29,0,29,0,1
28,0,29,0,-1.632682
30,0,30,0,1
29,0,30,0,-3.690874
31,0,31,0,1
30,0,31,0,-3.690874
32,0,32,0,1
31,0,32,0,-4.026227
33,0,33,0,1
32,0,33,0,-3.690874
0,1,0,1,1
0,1,0,2,-4.195244
1,1,1,1,1
0,1,1,1,-4.026227
1,1,1,2,-3.787200
2,1,2,1,1
1,1,2,1,-3.312939
2,1,2,2,-4.026227
3,1,3,1,1
2,1,3,1,-4.195244
3,1,3,2,-3.690874
4,1,4,1,1
3,1,4,1,-3.787200
4,1,4,2,-3.312939
5,1,5,1,1
4,1,5,1,-4.195244
5,1,5,2,-4.026227
6,1,6,1,1
5,1,6,1,-4.195244
6,1,6,2,-4.026227
7,1,7,1,1
6,1,7,1,-3.312939
7,1,7,2,-3.449165
8,1,8,1,1
7,1,8,1,-3.690874
8,1,8,2,-3.690874
9,1,9,1,1
8,1,9,1,-2.121253
9,1,9,2,-3.787200
10,1,10,1,1
9,1,10,1,-4.195244
10,1,10,2,-2.022590
11,1,11,1,1
10,1,11,1,-4.026227
11,1,11,2,-1.140919
12,1,12,1,1
11,1,12,1,-4.026227
12,1,12,2,-1.660840
13,1,13,1,1
12,1,13,1,-3.312939
13,1,13,2,-1.338935
14,1,14,1,1
13,1,14,1,-4.195244
15,1,15,1,1
14,1,15,1,-2.522663
16,1,16,1,1
15,1,16,1,-3.312939
17,1,17,1,1
16,1,17,1,-4.195244
18,1,18,1,1
17,1,18,1,-3.312939
19,1,19,1,1
18,1,19,1,-2.522663
20,1,20,1,1
19,1,20,1,-2.522663
21,1,21,1,1
20,1,21,1,-4.026227
22,1,22,1,1
21,1,22,1,-2.121253
0,2,0,2,1
0,2,0,3,-1.416362
1,2,1,2,1
0,2,1,2,-4.195244
1,2,1,3,-1.495717
2,2,2,2,1
1,2,2,2,-3.787200
2,2,2,3,-0.265720
3,2,3,2,1
2,2,3,2,-3.787200
3,2,3,3,1.065442
4,2,4,2,1
3,2,4,2,-2.920879
4,2,4,3,-0.041216
5,2,5,2,1
4,2,5,2,-3.690874
6,2,6,2,1
5,2,6,2,-3.690874
7,2,7,2,1
6,2,7,2,-2.022590
8,2,8,2,1
7,2,8,2,-3.312939
9,2,9,2,1
8,2,9,2,-2.522663
10,2,10,2,1
9,2,10,2,-2.405903
11,2,11,2,1
10,2,11,2,-3.312939
12,2,12,2,1
11,2,12,2,-0.908291
13,2,13,2,1
12,2,13,2,-1.495717
0,3,0,3,1
0,3,0,4,-2.022590
1,3,1,3,1
0,3,1,3,-3.449165
1,3,1,4,0.590266
2,3,2,3,1
1,3,2,3,-2.563067
3,3,3,3,1
2,3,3,3,-2.522663
4,3,4,3,1
3,3,4,3,-0.041216
0,4,0,4,1
0,4,0,5,-1.338935
1,4,1,4,1
0,4,1,4,-0.402217
0,5,0,5,1
0,5,0,6,-2.563067
0,6,0,6,1
